Vakken	punt	max	gem	80+	70+	60+	50+	50-	positie
Hoofdvakken	7.2	10	7.3	3	9	8	0	0	2
Aardrijskunde	7.9	10	8.8	18	2	0	0	0	2
Biologie	5.8	10	5.9	0	5	2	7	6	4
Chemie	9	10	7.6	10	2	4	4	0	1
Fysica	7.8	10	7.8	7	9	4	0	0	2
Nederlands	7	10	7	3	7	6	3	0	3
Wiskunde	6.5	10	6.9	4	3	8	5	0	3
Wiskunde plus	7.3	10	7.1	3	12	10	1	0	2
Andere Vakken	8.4	10	8	10	9	1	0	0	1
Engels	9.5	10	8.3	10	7	1	0	0	1
Esthetica	8.7	10	8.6	19	1	0	0	0	1
Frans	7.9	10	6.9	4	5	5	5	1	2
Geschiedenis	8.4	10	8	12	5	2	1	0	1
Godsdienst	9	10	8.9	16	4	0	0	0	1
Lichamelijke opvoeding	7.7	10	7.8	14	17	10	2	0	2
